"","team","season","game_type","week","gsis_id","position","full_name","first_name","last_name","report_primary_injury","report_secondary_injury","report_status","practice_primary_injury","practice_secondary_injury","practice_status","date_modified","bye","week_diff"
"2","ARI",2023,"REG",1,"00-0029316","T","Kelvin Beachum","Kelvin","Beachum","Hand","","Out","Hand","","Did Not Participate In Practice","2023-09-08T18:50:25Z",14,-13
"3","ARI",2023,"REG",1,"00-0035662","WR","Marquise Brown","Marquise","Brown","Hamstring","","Questionable","Hamstring","","Limited Participation in Practice","2023-09-08T18:50:02Z",14,-13
"4","ARI",2023,"REG",1,"00-0030061","TE","Zach Ertz","Zach","Ertz","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-09-08T18:50:02Z",14,-13
"5","ARI",2023,"REG",6,"00-0039041","TE","Elijah Higgins","Elijah","Higgins","Illness","","Questionable","Illness","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"6","ARI",2023,"REG",6,"00-0035343","DE","Jonathan Ledbetter","Jonathan","Ledbetter","Finger","","Questionable","Finger","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"7","ARI",2023,"REG",6,"00-0037330","LB","Jesse Luketa","Jesse","Luketa","Shoulder","","Questionable","Shoulder","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"8","ARI",2023,"REG",6,"00-0037751","LB","Myjai Sanders","Myjai","Sanders","Thumb","","Questionable","Thumb","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"9","ARI",2023,"REG",6,"00-0039007","CB","Garrett Williams","Garrett","Williams","Knee","","Questionable","Knee","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"10","ARI",2023,"REG",6,"00-0034801","LB","Josh Woods","Josh","Woods","Ankle","","Questionable","Ankle","","Limited Participation in Practice","2023-10-13T19:46:10Z",14,-8
"11","ARI",2023,"REG",11,"00-0037141","S","Joey Blount","Joey","Blount","Knee","","Out","Knee","","Did Not Participate In Practice","2023-11-17T20:45:40Z",14,-3
